"","Year","City","Sport","Event","Height","Weight","Age"
"1",1896,"Athina","Athletics","Athletics Men's 1,500 metres",173.768624862787,69.0818452723431,22.497850678733
"2",1896,"Athina","Athletics","Athletics Men's 100 metres",176.523473378751,71.4399438942277,23.846943970935
"3",1896,"Athina","Athletics","Athletics Men's 110 metres Hurdles",176.539038739613,71.2866837629877,23.247850678733
"4",1896,"Athina","Athletics","Athletics Men's 400 metres",175.461711290129,67.7246327069104,22.9708375593203
"5",1896,"Athina","Athletics","Athletics Men's 800 metres",176.297997934071,71.8096834840112,21.7129882148723
"6",1896,"Athina","Athletics","Athletics Men's Discus Throw",178.40792116979,73.5609552210287,24.141119006671
"7",1896,"Athina","Athletics","Athletics Men's High Jump",177.588412727607,70.9471420060788,22.8
"8",1896,"Athina","Athletics","Athletics Men's Long Jump",175.359431995999,71.6910796238134,23.6420742605674
"9",1896,"Athina","Athletics","Athletics Men's Marathon",177.13512777226,74.7918827299489,24.6998136811286
"10",1896,"Athina","Athletics","Athletics Men's Pole Vault",176.824761262476,73.013774343849,24.0948416289593
"11",1896,"Athina","Athletics","Athletics Men's Shot Put",175.252523334915,71.4294473428488,23.4261150614092
"12",1896,"Athina","Athletics","Athletics Men's Triple Jump",172.243274103205,69.4006857342876,24.4261150614092
"13",1896,"Athina","Cycling","Cycling Men's 10,000 metres",176.465053721036,71.9773918257238,22.4971342383107
"14",1896,"Athina","Cycling","Cycling Men's 100 kilometres",176.81016684085,72.2596341317181,24.3950665692968
"15",1896,"Athina","Cycling","Cycling Men's 12-Hours Race",176.795712291219,72.8631818309,25.6841802995961
"16",1896,"Athina","Cycling","Cycling Men's 333 metres Time Trial",176.349555496158,71.5896703745367,23.9050681464119
"17",1896,"Athina","Cycling","Cycling Men's Road Race, Individual",176.711947657824,72.800924611329,27.197500684797
"18",1896,"Athina","Cycling","Cycling Men's Sprint",176.159325806446,71.2229493441566,21.622850678733
"19",1896,"Athina","Fencing","Fencing Men's Foil, Individual",176.21011289445,71.8956659621436,24.2816095612379
"20",1896,"Athina","Fencing","Fencing Men's Foil, Masters, Individual",176.019039414823,71.4380957760716,21.7457013574661
"21",1896,"Athina","Fencing","Fencing Men's Sabre, Individual",177.384136488968,73.469362779715,24.5965610859729
"22",1896,"Athina","Gymnastics","Gymnastics Men's Horizontal Bar",175.710106831962,71.4521414453277,25.0110356139656
"23",1896,"Athina","Gymnastics","Gymnastics Men's Horizontal Bar, Teams",175.510031009842,71.1262326341596,24.5823651237444
"24",1896,"Athina","Gymnastics","Gymnastics Men's Horse Vault",175.683240803081,71.267452383539,24.795004286307
"25",1896,"Athina","Gymnastics","Gymnastics Men's Parallel Bars",175.717294105805,71.4067161885909,25.233063075258
"26",1896,"Athina","Gymnastics","Gymnastics Men's Parallel Bars, Teams",175.722248063757,71.483256615193,23.442921162698
"27",1896,"Athina","Gymnastics","Gymnastics Men's Pommelled Horse",175.605992116101,71.2784215548089,25.0944311339691
"28",1896,"Athina","Gymnastics","Gymnastics Men's Rings",174.563511752281,72.309702315931,25.7118293471235
"29",1896,"Athina","Gymnastics","Gymnastics Men's Rope Climbing",177.553532668882,75.6748520641718,22.4982805429864
"30",1896,"Athina","Shooting","Shooting Men's Free Pistol, 30 metres",177.287579966786,73.2549015840603,26.4948416289593
"31",1896,"Athina","Shooting","Shooting Men's Free Rifle, Three Positions, 300 metres",176.851174235801,73.1762541765709,26.4431221719457
"32",1896,"Athina","Shooting","Shooting Men's Military Pistol, 25 metres",176.881080689275,73.0736604104641,26.6185520361991
"33",1896,"Athina","Shooting","Shooting Men's Military Rifle, 200 metres",176.816341873375,72.6518065029964,27.6229450340508
"34",1896,"Athina","Shooting","Shooting Men's Muzzle-Loading Pistol, 25 metres",177.122537845671,72.8077648014161,29.7457013574661
"35",1896,"Athina","Swimming","Swimming Men's 1,200 metres Freestyle",176.748015913791,72.9669016275048,22.0790346907994
"36",1896,"Athina","Swimming","Swimming Men's 100 metres Freestyle",176.748015913791,72.9669016275048,21.9123680241327
"37",1896,"Athina","Swimming","Swimming Men's 100 metres Freestyle For Sailors",176.783333333333,73.2683765203596,25.4914027149321
"38",1896,"Athina","Swimming","Swimming Men's 500 metres Freestyle",176.978784144588,73.4136433660253,23.6609351432881
"39",1896,"Athina","Tennis","Tennis Men's Doubles",176.636347189284,72.6073217670908,22.3474208144796
"40",1896,"Athina","Tennis","Tennis Men's Singles",176.483312098611,72.3545877915817,22.9816518288439
"41",1896,"Athina","Weightlifting","Weightlifting Men's Unlimited, One Hand",180.191915836102,80.5935650802147,23.2457013574661
"42",1896,"Athina","Weightlifting","Weightlifting Men's Unlimited, Two Hands",175.941528317311,77.3390820647282,23.6638009049774
"43",1896,"Athina","Wrestling","Wrestling Men's Unlimited Class, Greco-Roman",175.289634645225,78.039397021646,24.1965610859728
"44",1900,"Paris","Archery","Archery Men's Au Chapelet, 33 metres",175.550888826697,69.7922584958288,36.6666666666667
"45",1900,"Paris","Archery","Archery Men's Au Chapelet, 50 metres",175.476852994101,69.7461476298175,33.4489657288106
"46",1900,"Paris","Archery","Archery Men's Au Cordon Dore, 33 metres",175.550888826697,69.7922584958288,36.6666666666667
"47",1900,"Paris","Archery","Archery Men's Au Cordon Dore, 50 metres",175.365799245207,69.6769813308006,27.8979314576212
"48",1900,"Paris","Archery","Archery Men's Championnat Du Monde",175.698960491889,69.8844802278514,29
"49",1900,"Paris","Archery","Archery Men's Sur La Perche a La Herse",175.847032157081,69.976701959874,32.6771995043371
"50",1900,"Paris","Archery","Archery Men's Sur La Perche a La Pyramide",175.550888826697,69.7922584958288,43.6666666666667
"51",1900,"Paris","Archery","Archery Men's Unknown Event",179.488906497623,73.5559113957833,39
"52",1900,"Paris","Athletics","Athletics Men's 1,500 metres",176.255439536267,71.7168317911051,23.3333333333333
"53",1900,"Paris","Athletics","Athletics Men's 100 metres",176.058252206012,70.408758360125,22.2069154029526
"54",1900,"Paris","Athletics","Athletics Men's 110 metres Hurdles",176.703651002799,71.6723062731435,22.732413981165
"55",1900,"Paris","Athletics","Athletics Men's 2,500 metres Steeplechase",170.891153216948,69.528131828991,21.5
"56",1900,"Paris","Athletics","Athletics Men's 200 metres",177.298880173272,70.6067018855548,21.625
"57",1900,"Paris","Athletics","Athletics Men's 200 metres Hurdles",176.120224816892,69.8684817240485,22.3450784468402
"58",1900,"Paris","Athletics","Athletics Men's 4,000 metres Steeplechase",173.910978539815,72.1697969234271,24.125
"59",1900,"Paris","Athletics","Athletics Men's 400 metres",176.998877579243,72.239892170104,22.4312515085517
"60",1900,"Paris","Athletics","Athletics Men's 400 metres Hurdles",174.377380631238,67.4079677697707,24.2522522522523
"61",1900,"Paris","Athletics","Athletics Men's 5,000 metres, Team",174.718644610008,69.8001656781551,23.6795862915242
"62",1900,"Paris","Athletics","Athletics Men's 60 metres",178.286773532094,72.5363816243807,22
"63",1900,"Paris","Athletics","Athletics Men's 800 metres",176.318815821447,71.9138810162752,22.9931692665439
"64",1900,"Paris","Athletics","Athletics Men's Discus Throw",179.226509262514,78.2141490793224,24.2618387173329
"65",1900,"Paris","Athletics","Athletics Men's Hammer Throw",181.565793358845,83.7471420060788,23.6
"66",1900,"Paris","Athletics","Athletics Men's High Jump",178.379322893875,73.8893032342433,22.7244828644053
"67",1900,"Paris","Athletics","Athletics Men's Long Jump",178.473958221662,73.6826934194058,21.9829885762702
"68",1900,"Paris","Athletics","Athletics Men's Marathon",174.188887033932,68.8658989070907,25.7658110095829
"69",1900,"Paris","Athletics","Athletics Men's Pole Vault",178.599572875891,74.1981932783544,22.25
"70",1900,"Paris","Athletics","Athletics Men's Shot Put",178.835328186525,75.1060131378789,25.0893459481695
"71",1900,"Paris","Athletics","Athletics Men's Standing High Jump",179.591268770794,74.7545807193887,25
"72",1900,"Paris","Athletics","Athletics Men's Standing Long Jump",178.507137952174,73.4678892974874,24.5
"73",1900,"Paris","Athletics","Athletics Men's Standing Triple Jump",177.871566172208,72.5699346127853,22.9
"74",1900,"Paris","Athletics","Athletics Men's Triple Jump",176.927749045907,72.0876849228571,22.9842971473263
"75",1900,"Paris","Basque Pelota","Basque Pelota Men's Two-Man Teams With Cesta",174.921725239617,69.6896274149034,26
"76",1900,"Paris","Cricket","Cricket Men's Cricket",175.664020220532,70.7006759031777,28.7205704460899
"77",1900,"Paris","Croquet","Croquet Mixed Doubles",175.254745496312,69.6078150317836,18.5
"78",1900,"Paris","Croquet","Croquet Mixed Singles, One Ball",175.254745496312,69.6078150317836,32.9546362033872
"79",1900,"Paris","Croquet","Croquet Mixed Singles, Two Balls",175.254745496312,69.6078150317836,34.9489657288106
"80",1900,"Paris","Cycling","Cycling Men's 25 kilometres",175.185018541229,70.3151165979073,24.0211239983171
"81",1900,"Paris","Cycling","Cycling Men's Points Race",175.425693745849,70.1342261104805,24.4886863326523
"82",1900,"Paris","Cycling","Cycling Men's Sprint",175.304387052526,69.9410624364925,25.2516528975734
"83",1900,"Paris","Equestrianism","Equestrianism Mixed Four-In-Hand Competition",175.767707097386,70.2056336529294,35.8714786591873
"84",1900,"Paris","Equestrianism","Equestrianism Mixed Hacks And Hunter Combined",174.989203177794,70.0792267793949,32.7853981576459
"85",1900,"Paris","Equestrianism","Equestrianism Mixed High Jump",175.770039855575,70.8320269083065,28.4985756654564
"86",1900,"Paris","Equestrianism","Equestrianism Mixed Jumping, Individual",174.919561418611,69.9330039573989,32.7851558999647
"87",1900,"Paris","Equestrianism","Equestrianism Mixed Long Jump",175.752270014654,70.5951402381927,29.5728974779029
"88",1900,"Paris","Fencing","Fencing Men's epee, Individual",175.13840680975,69.8083626235837,27.4810538322187
"89",1900,"Paris","Fencing","Fencing Men's epee, Masters and Amateurs, Individual",175.211430790286,70.0409123931938,25.875
"90",1900,"Paris","Fencing","Fencing Men's epee, Masters, Individual",175.160155999433,69.7944136701738,27.4635957967393
"91",1900,"Paris","Fencing","Fencing Men's Foil, Individual",175.408384925399,70.1615387331058,28.2517613485871
"92",1900,"Paris","Fencing","Fencing Men's Foil, Masters, Individual",175.1557415573,69.8327870410886,29.2689742257572
"93",1900,"Paris","Fencing","Fencing Men's Sabre, Individual",175.81034469089,70.9655213953253,30.5975981391301
"94",1900,"Paris","Fencing","Fencing Men's Sabre, Masters, Individual",175.321387765223,70.6695917447703,29.2880201386527
"95",1900,"Paris","Football","Football Men's Football",175.764543822749,70.2911257783402,24.3074722566922
"96",1900,"Paris","Golf","Golf Men's Individual",175.732680639461,71.4412904436905,31.1264347541169
"97",1900,"Paris","Golf","Golf Women's Individual",176.070824326252,71.1198430554333,29.9591725830485
"98",1900,"Paris","Gymnastics","Gymnastics Men's Individual All-Around",175.199630618369,69.7801134073347,25.6719076041332
"99",1900,"Paris","Polo","Polo Men's Polo",175.274759363711,70.0174047473558,33.3260223438486
"100",1900,"Paris","Rowing","Rowing Men's Coxed Eights",177.063844098646,71.3900662535211,24.2690539663063
"101",1900,"Paris","Rowing","Rowing Men's Coxed Fours",176.293927548719,70.67983344685,24.446794951929
"102",1900,"Paris","Rowing","Rowing Men's Coxed Pairs",176.159704432952,69.570004936814,25.9859485932159
"103",1900,"Paris","Rowing","Rowing Men's Single Sculls",175.265972353418,69.7187147181288,25.7805752768282
"104",1900,"Paris","Rugby","Rugby Men's Rugby",176.030024812703,71.1082969620103,25.241388167932
"105",1900,"Paris","Sailing","Sailing Mixed 0-0.5 Ton",175.254745496312,69.6078150317836,27.1802305197651
"106",1900,"Paris","Sailing","Sailing Mixed 0.5-1 Ton",175.437784658047,69.9142708705016,31.5797955179245
"107",1900,"Paris","Sailing","Sailing Mixed 1-2 Ton",175.45874890153,70.0460270774944,31.9699121546674
"108",1900,"Paris","Sailing","Sailing Mixed 10-20 Ton",175.410659676967,70.0241429827909,37.9535590223601
"109",1900,"Paris","Sailing","Sailing Mixed 2-3 Ton",175.297267545582,69.721359018422,35.8163013251102
"110",1900,"Paris","Sailing","Sailing Mixed 20+ Ton",175.896656182265,70.9883209701194,32.2313728047296
"111",1900,"Paris","Sailing","Sailing Mixed 3-10 Ton",176.19451140111,70.6541788392106,32.2744123718044
"112",1900,"Paris","Sailing","Sailing Mixed Open",175.52359325173,69.9839520975796,31.3465882229514
"113",1900,"Paris","Shooting","Shooting Men's Free Pistol, 50 metres",175.903292114618,70.9968625035161,35.3063197026022
"114",1900,"Paris","Shooting","Shooting Men's Free Pistol, 50 metres, Team",175.903292114618,70.9968625035161,35.3063197026022
"115",1900,"Paris","Shooting","Shooting Men's Free Rifle, Kneeling, 300 metres",176.802760416519,71.7785060601595,33.8698265179678
"116",1900,"Paris","Shooting","Shooting Men's Free Rifle, Prone, 300 metres",176.802760416519,71.7785060601595,33.8698265179678
"117",1900,"Paris","Shooting","Shooting Men's Free Rifle, Standing, 300 metres",176.802760416519,71.7785060601595,33.8698265179678
"118",1900,"Paris","Shooting","Shooting Men's Free Rifle, Three Positions, 300 metres",176.802760416519,71.7785060601595,33.8698265179678
"119",1900,"Paris","Shooting","Shooting Men's Free Rifle, Three Positions, 300 metres, Team",176.802760416519,71.7785060601595,33.8698265179678
"120",1900,"Paris","Shooting","Shooting Men's Trap",175.210291189783,69.6577496429413,30.6244235802379
"121",1900,"Paris","Swimming","Swimming Men's 1,000 metres Freestyle",176.659780346204,72.7594222502505,23.3499619721456
"122",1900,"Paris","Swimming","Swimming Men's 200 metres Backstroke",177.145234436563,72.5001595740316,25.7045188292101
"123",1900,"Paris","Swimming","Swimming Men's 200 metres Freestyle",176.410928995587,71.406965765288,23.5382175154432
"124",1900,"Paris","Swimming","Swimming Men's 200 metres Obstacle Course",175.85017597242,71.0826055827975,22.3101128445134
"125",1900,"Paris","Swimming","Swimming Men's 200 metres Team Swimming",175.719130697093,70.2300318675427,22.5790266647968
"126",1900,"Paris","Swimming","Swimming Men's 4,000 metres Freestyle",176.295278801255,71.4173632972292,26.2539243478911
"127",1900,"Paris","Swimming","Swimming Men's Underwater Swimming",175.836954414579,70.402531462844,24.5976359515671
"128",1900,"Paris","Tennis","Tennis Men's Doubles",176.959192296115,70.3761294917654,28.881808929993
"129",1900,"Paris","Tennis","Tennis Men's Singles",177.478076762214,70.7860525246303,30.3160725292221
"130",1900,"Paris","Tennis","Tennis Mixed Doubles",177.558792243013,71.0002775233297,25.9829885762702
"131",1900,"Paris","Tennis","Tennis Women's Singles",175.667630890547,71.0672342213077,25.7652876384141
"132",1900,"Paris","Tug-Of-War","Tug-Of-War Men's Tug-Of-War",176.468177336728,71.1491839965626,27.8996552429369
"133",1900,"Paris","Water Polo","Water Polo Men's Water Polo",176.000607349671,70.8021894706532,24.579562359767
"134",1904,"St. Louis","Archery","Archery Men's Double American Round",175.856870907619,72.631871079083,45.1910193282869
"135",1904,"St. Louis","Archery","Archery Men's Double York Round",176.213540261667,72.631871079083,46.5031628940986
"136",1904,"St. Louis","Archery","Archery Men's Team Round",175.470608814405,72.631871079083,47.6281628940986
"137",1904,"St. Louis","Archery","Archery Women's Double Columbia Round",176.886903156191,72.631871079083,45.008434384263
"138",1904,"St. Louis","Archery","Archery Women's Double National Round",176.886903156191,72.631871079083,45.008434384263
"139",1904,"St. Louis","Archery","Archery Women's Team Round",176.886903156191,72.631871079083,47.7626515763945
"140",1904,"St. Louis","Athletics","Athletics Men's 1,500 metres",177.280703130661,70.5639752153851,21.8888888888889
"141",1904,"St. Louis","Athletics","Athletics Men's 100 metres",176.493556289475,70.4716105803493,22.9090909090909
"142",1904,"St. Louis","Athletics","Athletics Men's 110 metres Hurdles",176.884755449569,72.5834875636424,22.8333333333333
"143",1904,"St. Louis","Athletics","Athletics Men's 2,590 metres Steeplechase",174.665815638368,67.699373319607,21.8571428571429
"144",1904,"St. Louis","Athletics","Athletics Men's 200 metres",174.377380631238,68.7263742158166,22.6
"145",1904,"St. Louis","Athletics","Athletics Men's 200 metres Hurdles",177.509522524953,71.3054968632664,23.4
"146",1904,"St. Louis","Athletics","Athletics Men's 4 mile, Team",173.980235812108,67.8135299348116,21.4795862915242
"147",1904,"St. Louis","Athletics","Athletics Men's 400 metres",178.786209648413,72.3923040014624,21.9166666666667
"148",1904,"St. Louis","Athletics","Athletics Men's 400 metres Hurdles",177.443451578096,70.5659355395415,21.5
"149",1904,"St. Louis","Athletics","Athletics Men's 56-pound Weight Throw",183.12896771873,91.543957026361,32.3333333333333
"150",1904,"St. Louis","Athletics","Athletics Men's 60 metres",176.526335195034,70.6516322885771,22.5833333333333
"151",1904,"St. Louis","Athletics","Athletics Men's 800 metres",176.876303606409,70.019687741514,22.3187570579943
"152",1904,"St. Louis","Athletics","Athletics Men's All-Around Championship",177.888397484134,75.6263261715911,27.7142857142857
"153",1904,"St. Louis","Athletics","Athletics Men's Discus Throw",185.314483859365,91.9386451798472,28.1666666666667
"154",1904,"St. Louis","Athletics","Athletics Men's Hammer Throw",181.776784911429,87.9826022062082,28.6666666666667
"155",1904,"St. Louis","Athletics","Athletics Men's High Jump",178.814449154643,73.9939393495765,24.6751010509297
"156",1904,"St. Louis","Athletics","Athletics Men's Long Jump",177.021115472986,72.4121611190554,23.3389562561753
"157",1904,"St. Louis","Athletics","Athletics Men's Marathon",173.999149660121,67.3924211474332,24.8438601090687
"158",1904,"St. Louis","Athletics","Athletics Men's Pole Vault",177.111284954397,71.3667351697306,21.4285714285714
"159",1904,"St. Louis","Athletics","Athletics Men's Shot Put",181.943451578096,83.6909355395415,24.8876515763945
"160",1904,"St. Louis","Athletics","Athletics Men's Standing High Jump",179.531062574368,72.7847948451353,24.6
"161",1904,"St. Louis","Athletics","Athletics Men's Standing Long Jump",178.915177367143,74.2239033093122,26
"162",1904,"St. Louis","Athletics","Athletics Men's Standing Triple Jump",178.915177367143,74.2239033093122,25.7626515763945
"163",1904,"St. Louis","Athletics","Athletics Men's Triple Jump",180.094387066939,74.9205579799118,23.5714285714286
"164",1904,"St. Louis","Boxing","Boxing Men's Bantamweight",176.886903156191,49.5,23.025303152789
"165",1904,"St. Louis","Boxing","Boxing Men's Featherweight",176.886903156191,60.543957026361,19.3333333333333
"166",1904,"St. Louis","Boxing","Boxing Men's Flyweight",168.443451578096,48,22.525303152789
"167",1904,"St. Louis","Boxing","Boxing Men's Heavyweight",180.591268770794,77,24.016868768526
"168",1904,"St. Louis","Boxing","Boxing Men's Lightweight",176.886903156191,66.5659355395415,24.5063257881973
"169",1904,"St. Louis","Boxing","Boxing Men's Middleweight",176.886903156191,71,26.050606305578
"170",1904,"St. Louis","Boxing","Boxing Men's Welterweight",176.886903156191,61.75,27.25
"171",1904,"St. Louis","Cycling","Cycling Men's 1 mile",175.665177367143,72.631871079083,21.875
"172",1904,"St. Louis","Cycling","Cycling Men's 1/2 mile",176.748510700477,72.631871079083,22.5875505254648
"173",1904,"St. Louis","Cycling","Cycling Men's 1/3 mile",177.572419296826,72.631871079083,22.1666666666667
"174",1904,"St. Louis","Cycling","Cycling Men's 1/4 mile",177.20075655394,72.4794832039389,22.640964209598
"175",1904,"St. Louis","Cycling","Cycling Men's 2 mile",177.709522524953,72.631871079083,22.2
"176",1904,"St. Louis","Cycling","Cycling Men's 25 mile",175.909522524953,72.631871079083,23.7101212611156
"177",1904,"St. Louis","Cycling","Cycling Men's 5 mile",175.800924677037,72.631871079083,22.6722895895087
"178",1904,"St. Louis","Diving","Diving Men's Springboard",177.161448602371,72.4974229072529,24.7748515086045
"179",1904,"St. Louis","Fencing","Fencing Men's epee, Individual",178.427921980823,72.6751995906028,32.2101212611156
"180",1904,"St. Louis","Fencing","Fencing Men's Foil, Individual",177.613645267885,72.4587122305632,30.2278451450642
"181",1904,"St. Louis","Fencing","Fencing Men's Foil, Team",177.765043668097,72.7787786937438,31.1751010509297
"182",1904,"St. Louis","Fencing","Fencing Men's Sabre, Individual",177.713787463335,72.7200156478795,30.4
"183",1904,"St. Louis","Fencing","Fencing Men's Single Sticks, Individual",178.924602104127,72.631871079083,37.3333333333333
"184",1904,"St. Louis","Football","Football Men's Football",176.197835409937,71.5285824396545,21.9234737323634
"185",1904,"St. Louis","Golf","Golf Men's Individual",176.7858402065,72.5011926822909,29.7780565885206
"186",1904,"St. Louis","Golf","Golf Men's Team",176.631546173905,72.631871079083,25.9333333333333
"187",1904,"St. Louis","Gymnastics","Gymnastics Men's Club Swinging",176.886903156191,72.631871079083,24
"188",1904,"St. Louis","Gymnastics","Gymnastics Men's Horizontal Bar",174.591268770794,72.631871079083,27.3333333333333
"189",1904,"St. Louis","Gymnastics","Gymnastics Men's Horse Vault",174.591268770794,72.631871079083,28
"190",1904,"St. Louis","Gymnastics","Gymnastics Men's Individual All-Around",176.375138137566,72.4887247697831,25.2247246214798
"191",1904,"St. Louis","Gymnastics","Gymnastics Men's Individual All-Around, 4 Events",175.509522524953,72.631871079083,27.4
"192",1904,"St. Louis","Gymnastics","Gymnastics Men's Individual All-Around, Apparatus Work",176.287694462143,72.4892475624908,25.2881746278415
"193",1904,"St. Louis","Gymnastics","Gymnastics Men's Individual All-Around, Field Sports",176.282616422363,72.4880388886214,25.3160405145181
"194",1904,"St. Louis","Gymnastics","Gymnastics Men's Parallel Bars",174.591268770794,72.631871079083,29
"195",1904,"St. Louis","Gymnastics","Gymnastics Men's Rings",176.886903156191,72.631871079083,24.3333333333333
"196",1904,"St. Louis","Gymnastics","Gymnastics Men's Rope Climbing",174.591268770794,72.631871079083,27.6835354351927
"197",1904,"St. Louis","Gymnastics","Gymnastics Men's Side Horse",174.591268770794,72.631871079083,28
"198",1904,"St. Louis","Gymnastics","Gymnastics Men's Team All-Around",176.081282824551,72.5029318503128,25.5405633977986
"199",1904,"St. Louis","Lacrosse","Lacrosse Men's Lacrosse",175.560405000008,72.4417618757019,26.0964741533118
"200",1904,"St. Louis","Roque","Roque Men's Singles",176.886903156191,72.631871079083,46.5126515763945
"201",1904,"St. Louis","Rowing","Rowing Men's Coxed Eights",175.932809353686,71.8373989271564,25.9020598445708
"202",1904,"St. Louis","Rowing","Rowing Men's Coxless Fours",176.886903156191,72.631871079083,27.5
"203",1904,"St. Louis","Rowing","Rowing Men's Coxless Pairs",176.886903156191,72.631871079083,27.6751010509297
"204",1904,"St. Louis","Rowing","Rowing Men's Double Sculls",176.886903156191,72.631871079083,25.516868768526
"205",1904,"St. Louis","Rowing","Rowing Men's Single Sculls",176.886903156191,72.631871079083,29.75
"206",1904,"St. Louis","Swimming","Swimming Men's 100 Yard Backstroke",177.115691028008,72.5198309358913,22.3039418729074
"207",1904,"St. Louis","Swimming","Swimming Men's 100 yard Freestyle",179.591268770794,73.9212473860553,20.6666666666667
"208",1904,"St. Louis","Swimming","Swimming Men's 220 yard Freestyle",178.526349743118,71.8453079645555,24.5
"209",1904,"St. Louis","Swimming","Swimming Men's 4 x 50 Yard Freestyle Relay",177.026040261667,72.0528871941976,23.3188257881973
"210",1904,"St. Louis","Swimming","Swimming Men's 440 Yard Breaststroke",177.230084963916,72.4638108642954,21.9559128093611
"211",1904,"St. Louis","Swimming","Swimming Men's 440 yard Freestyle",176.940230018162,72.1694045307198,21.25
"212",1904,"St. Louis","Swimming","Swimming Men's 50 yard Freestyle",179.591268770794,73.9212473860553,19.6666666666667
"213",1904,"St. Louis","Swimming","Swimming Men's 880 yard Freestyle",175.81230144802,72.5629186770287,23.6666666666667
"214",1904,"St. Louis","Swimming","Swimming Men's One Mile Freestyle",175.965815977759,72.5727690201793,25.4285714285714
"215",1904,"St. Louis","Swimming","Swimming Men's Plunge For Distance",176.886903156191,72.631871079083,28.4
"216",1904,"St. Louis","Tennis","Tennis Men's Doubles",177.105925575772,73.0700060335675,26.7751010509297
"217",1904,"St. Louis","Tennis","Tennis Men's Singles",177.13026140017,73.1186876951768,26.8260606604988
"218",1904,"St. Louis","Tug-Of-War","Tug-Of-War Men's Tug-Of-War",177.804586883585,74.2909371970026,27.1725611284457
"219",1904,"St. Louis","Water Polo","Water Polo Men's Water Polo",176.701812529706,72.3160676943648,23.7215151865111
"220",1904,"St. Louis","Weightlifting","Weightlifting Men's All-Around Dumbbell Contest",174.295634385397,84.2106236930277,24.016868768526
"221",1904,"St. Louis","Weightlifting","Weightlifting Men's Unlimited, Two Hands",175.139284911429,73.3830296696314,24.3855022551275
"222",1904,"St. Louis","Wrestling","Wrestling Men's Bantamweight, Freestyle",176.614304926904,72.3342170138045,24.3001732301651
"223",1904,"St. Louis","Wrestling","Wrestling Men's Featherweight, Freestyle",176.725724060483,72.375464552046,25.1223569567951
"224",1904,"St. Louis","Wrestling","Wrestling Men's Flyweight, Freestyle",171.257935437461,66.4212473860553,22.6835354351927
"225",1904,"St. Louis","Wrestling","Wrestling Men's Heavyweight, Freestyle",174.732141893715,73.1483384608004,27.2
"226",1904,"St. Louis","Wrestling","Wrestling Men's Light-Flyweight, Freestyle",176.470580515998,72.1395478499568,22
"227",1904,"St. Louis","Wrestling","Wrestling Men's Lightweight, Freestyle",176.932660730554,72.6094630504446,25.3101212611156
"228",1904,"St. Louis","Wrestling","Wrestling Men's Welterweight, Freestyle",177.309762261243,72.65329187785,28.6151818916734
"229",1906,"Athina","Athletics","Athletics Men's 1,500 metres",175.744436191551,69.8106853550024,23.5982805429864
"230",1906,"Athina","Athletics","Athletics Men's 1,500 metres Walk",176.676192138816,71.0936674125827,26.0945508398193
"231",1906,"Athina","Athletics","Athletics Men's 100 metres",176.782501218345,71.8653387284352,24.5176643979561
"232",1906,"Athina","Athletics","Athletics Men's 110 metres Hurdles",178.127187828683,72.9682266017681,24.9726002721295
"233",1906,"Athina","Athletics","Athletics Men's 3,000 metres Walk",175.138376712271,70.1618392613889,25.4813696947967
"234",1906,"Athina","Athletics","Athletics Men's 400 metres",177.27364062225,70.8665321570898,24.354038302335
"235",1906,"Athina","Athletics","Athletics Men's 5 mile",175.391046613826,69.5818118185148,23.9891332845015
"236",1906,"Athina","Athletics","Athletics Men's 800 metres",177.470847209359,71.9583737197427,23.7343957425499
"237",1906,"Athina","Athletics","Athletics Men's Discus Throw",180.388679569439,79.137437253852,24.6306698424345
"238",1906,"Athina","Athletics","Athletics Men's Discus Throw, Greek Style",178.75336801578,78.4323649986694,25.5573291540222
"239",1906,"Athina","Athletics","Athletics Men's High Jump",177.50536616242,71.4155896756191,25.0726643558067
"240",1906,"Athina","Athletics","Athletics Men's Javelin Throw, Freestyle",178.162077690839,75.4445464137403,24.5517118887222
"241",1906,"Athina","Athletics","Athletics Men's Long Jump",178.523257021908,73.3483834972677,25.2008463681735
"242",1906,"Athina","Athletics","Athletics Men's Marathon",175.550281179386,70.0794406649489,25.0631878411587
"243",1906,"Athina","Athletics","Athletics Men's Pentathlon (Ancient)",179.190421817944,75.0541409677359,24.5396712491471
"244",1906,"Athina","Athletics","Athletics Men's Pole Vault",177.079886512335,71.5522279793279,24.0310802701855
"245",1906,"Athina","Athletics","Athletics Men's Shot Put",181.874416159209,78.0344088782305,25.5502220343516
"246",1906,"Athina","Athletics","Athletics Men's Standing High Jump",180.343033852158,74.7787391806102,24.3926302747185
"247",1906,"Athina","Athletics","Athletics Men's Standing Long Jump",179.441488992093,74.3910178472813,24.5152641692963
"248",1906,"Athina","Athletics","Athletics Men's Stone Throw",180.159044607099,79.7345088153504,25.2953854766727
"249",1906,"Athina","Athletics","Athletics Men's Triple Jump",178.145099131177,73.4608012379264,26.0556920490753
"250",1906,"Athina","Cycling","Cycling Men's 20 kilometres",176.754267968969,71.5638321125905,25.4055353055629
"251",1906,"Athina","Cycling","Cycling Men's 333 metres Time Trial",176.702049903225,71.5120573649019,24.4131677042779
"252",1906,"Athina","Cycling","Cycling Men's 5,000 metres",176.493443294676,71.0914638941229,24.1156847503963
"253",1906,"Athina","Cycling","Cycling Men's Road Race, Individual",176.757060294552,72.2321022208761,25.7625585497927
